sentence,spam,genuine
urgent: claim your prize now,1,0
congratulations! you've won a free vacation,1,0
exclusive offer: 50% off on all purchases,1,0
click here for a limited-time discount,1,0
you've been selected for a special promotion,1,0
don't miss out on this amazing deal,1,0
guaranteed to make money fast,1,0
act now and get a free trial,1,0
limited stock: buy now before it's gone,1,0
double your income with this opportunity,1,0
last chance to claim your reward,1,0
discounts on luxury items,1,0
lose weight fast with our miracle product,1,0
click to unsubscribe from future messages,1,0
check out this incredible investment opportunity,1,0
you're a winner! claim your prize today,1,0
free gift with every purchase,1,0
unlock the secrets to success,1,0
get rich quick with our proven method,1,0
limited-time: offer buy one get one free,1,0
exciting news: you're pre-approved for a loan,1,0
increase your credit score instantly,1,0
amazing job opportunity with high salary,1,0
earn money from home with this easy method,1,0
Good morning! Hope you have a great day ahead.,0,1
Reminder: Parent-Teacher meetings scheduled for next week.,0,1
Your package has been shipped and will arrive by Friday.,0,1
Don't forget to attend the team meeting at 2 PM.,0,1
Congratulations on completing your course! You can now download your certificate.,0,1
Hi this is a friendly reminder to submit your monthly report by the end of the week.,0,1
The weather forecast predicts sunny days for the upcoming weekend.,0,1
Thank you for your recent purchase! We hope you enjoy your new product.,0,1
The library books you requested are now available for pickup.,0,1
Your flight reservation is confirmed. Please check-in online 24 hours before departure.,0,1
Wishing you a happy birthday filled with joy and celebration!,0,1
Our office will be closed on Monday for the public holiday.,0,1
Please find attached the agenda for our upcoming team meeting.,0,1
Great job on completing the project ahead of schedule!,0,1
We appreciate your feedback. Your opinion matters to us.,0,1
Enjoy your weekend! Take some time to relax and recharge.,0,1
The quarterly performance review is scheduled for next Friday.,0,1
Invitation: Join us for a company-wide team-building event on Saturday.,0,1
Thank you for your hard work and dedication to the team.,0,1
Your monthly utility bill is now available for viewing online.,0,1
